frame,wall_ms,deck,smooth_display_samp,output_pos_mono,drift,smooth_ref_present,rebuild_count,nudge,is_paused,nudge_mode
1019,0,0,95079.186,96245,-1165.814,true,3,0,false,jump
1020,9,0,95494.825,96245,-750.175,true,3,0,false,jump
1021,18,0,95914.824,98293,-2378.176,true,3,0,false,jump
1022,28,0,96330.546,98293,-1962.454,true,3,0,false,jump
1023,37,0,96747.033,98293,-1545.967,true,3,0,false,jump
1024,47,0,97163.497,98293,-1129.503,true,3,0,false,jump
1025,57,0,97583.431,100341,-2757.569,true,3,0,false,jump
1026,66,0,97999.213,100341,-2341.787,true,3,0,false,jump
1027,75,0,98414.997,100341,-1926.003,true,3,0,false,jump
1028,85,0,98831.424,100341,-1509.576,true,3,0,false,jump
1029,94,0,99247.880,100341,-1093.120,true,3,0,false,jump
1030,104,0,99668.476,102389,-2720.524,true,3,0,false,jump
1031,113,0,100084.351,102389,-2304.649,true,3,0,false,jump
1032,122,0,100500.212,102389,-1888.788,true,3,0,false,jump
1033,132,0,100916.823,102389,-1472.177,true,3,0,false,jump
1034,141,0,101336.569,104437,-3100.431,true,3,0,false,jump
1035,151,0,101753.060,104437,-2683.940,true,3,0,false,jump
1036,160,0,102169.518,104437,-2267.482,true,3,0,false,jump
1037,170,0,102585.952,104437,-1851.048,true,3,0,false,jump
1038,179,0,103002.401,104437,-1434.599,true,3,0,false,jump
1039,189,0,103422.139,106485,-3062.861,true,3,0,false,jump
1040,198,0,103837.737,106485,-2647.263,true,3,0,false,jump
1041,208,0,104253.645,106485,-2231.355,true,3,0,false,jump
1042,217,0,104669.430,106485,-1815.570,true,3,0,false,jump
1043,226,0,105089.185,108533,-3443.815,true,3,0,false,jump
1044,236,0,105504.858,108533,-3028.142,true,3,0,false,jump
1045,245,0,105920.541,108533,-2612.459,true,3,0,false,jump
1046,255,0,106334.554,108533,-2198.446,true,3,0,false,jump
1047,264,0,106750.212,108533,-1782.788,true,3,0,false,jump
1048,274,0,107170.069,110581,-3410.931,true,3,0,false,jump
1049,283,0,107617.894,111022,-3404.106,true,3,0,false,jump
1050,292,0,108033.580,111022,-2988.420,true,3,0,false,jump
1051,302,0,108449.251,111022,-2572.749,true,3,0,false,jump
1052,311,0,108865.032,111022,-2156.968,true,3,0,false,jump
1053,321,0,109281.801,111022,-1740.199,true,3,0,false,jump
1054,330,0,109697.470,111022,-1324.530,true,3,0,false,jump
1055,340,0,110111.738,111022,-910.262,true,3,0,false,jump
1056,349,0,110527.440,111022,-494.560,true,3,0,false,jump
1057,359,0,110947.490,113070,-2122.510,true,3,0,false,jump
